Order ID,Customer Name,Email,Region,Product,Quantity,Unit Price,Order Date,Delivery Date,Status,Payment Method,Feedback Score,Extra Column
1396,Benjamin Trevino,jware@yahoo.com,West,Tablet,3.0,1357.76,2024-11-12,2024-09-15,Pending,Cash,2.0,
5863,David Acevedo,ubowman@hunter-butler.com,West,Tablet,7.0,531.12,2024-09-07,2025-02-28,Delivered,Cash,2.0,
6030,Randy Combs,ruizspencer@rivera.org,North,Laptop,9.0,1426.65,2025-02-07,2025-02-18,Pending,Credit Card,5.0,RemoveMe
2148,Joseph Richardson,anthonyhenry@yahoo.com,West,Keyboard,10.0,219.13,2025-03-28,2025-02-18,Returned,Cash,3.0,
8135,Brandon Hall,gomezmary@hotmail.com,North,Mouse,7.0,132.35,2024-07-23,2024-11-17,Returned,Credit Card,2.0,
3682,Tanya Harris,xmitchell@hotmail.com,North,Mouse,9.0,1069.19,2024-09-18,2024-12-27,Delivered,UPI,2.0,
4377,Samantha Dixon,bvaughan@hotmail.com,South,Laptop,5.0,367.25,2024-09-22,2024-07-16,Delivered,Credit Card,2.0,
1446,Scott Joseph,jamieswanson@jensen-dickson.org,West,Mouse,2.0,1397.54,2024-11-26,2024-07-12,Pending,UPI,5.0,
5980,Jacob James,watsonholly@mcdonald.info,North,Laptop,10.0,889.74,2024-12-03,2025-03-12,Pending,Cash,5.0,
8829,Sara Leach,richard21@yahoo.com,West,Keyboard,3.0,567.05,2025-05-14,2024-08-06,Delivered,Credit Card,1.0,
7308,Charles Phillips,moniquechavez@davis.biz,South,Mouse,1.0,898.29,2025-06-25,2024-07-24,Cancelled,Cash,2.0,
4381,Michelle Smith,danielnelson@gmail.com,North,Smartphone,1.0,203.57,2024-11-15,2025-06-11,Cancelled,Cash,3.0,
8320,Robert Wheeler,fhernandez@miller-west.com,West,Keyboard,3.0,408.77,2024-08-06,2025-02-01,Delivered,Cash,2.0,RemoveMe
7662,Justin Bush,cbrown@hotmail.com,East,Smartphone,9.0,56.67,2025-05-08,2025-02-18,Returned,UPI,3.0,
3197,Judith Hoover,bennettdonna@hotmail.com,South,Mouse,4.0,1025.84,2024-09-13,2024-09-22,Pending,Credit Card,2.0,
4932,Adrian Deleon,tfernandez@yahoo.com,North,Keyboard,6.0,386.66,2025-01-06,2025-06-12,Delivered,Credit Card,3.0,
2621,Melissa Ponce,tiffanysmith@yahoo.com,West,Monitor,9.0,1190.26,2024-07-06,2024-11-07,Delivered,Net Banking,,
7292,Amy Fitzpatrick,ernest97@rogers.org,North,Keyboard,8.0,936.15,2025-05-22,2024-10-02,Returned,Net Banking,4.0,
8280,William Parker,etaylor@gmail.com,West,Keyboard,2.0,883.25,2024-10-28,2025-02-06,Pending,UPI,4.0,
9118,Jennifer Schmitt,ryannguyen@walters.info,North,Smartphone,4.0,903.03,2024-08-24,2024-07-01,Delivered,Debit Card,1.0,
8782,Michael Day,johnstonjose@gmail.com,East,Keyboard,4.0,337.82,2025-02-10,2025-06-29,Cancelled,Debit Card,5.0,
4814,Allison Smith,sullivanmargaret@moore.org,East,Laptop,6.0,1398.12,2024-07-06,2024-12-26,Returned,Debit Card,2.0,
6310,Ebony Oliver,robert16@hotmail.com,East,Monitor,1.0,1271.26,2025-05-09,2024-12-07,Cancelled,Credit Card,3.0,RemoveMe
9800,Frederick Robertson,canderson@hotmail.com,West,Smartphone,4.0,757.01,2024-12-11,2024-07-08,Delivered,UPI,3.0,
6870,Donna Hale,qcook@gmail.com,South,Mouse,1.0,387.79,2025-04-23,2025-01-14,Pending,Cash,,
8208,Charles Williams MD,paigewood@hall-bradley.net,West,Laptop,3.0,1429.86,2024-10-04,2025-03-26,Returned,UPI,1.0,
3281,Cheryl Nguyen,mmartinez@yahoo.com,West,Smartphone,5.0,1056.81,2025-05-14,2024-07-15,Returned,Net Banking,1.0,
6672,Michael Vance,doylejason@gmail.com,South,Keyboard,5.0,1385.24,2024-12-26,2024-07-03,Cancelled,Net Banking,3.0,
1867,Brent Rivas,ronaldrobinson@torres-miller.biz,East,Tablet,4.0,1432.87,2025-06-26,2024-09-06,Returned,Net Banking,,
2840,Brandon Jones,jennifer17@gmail.com,West,Monitor,5.0,866.5,2024-09-03,2024-09-22,Returned,Credit Card,1.0,
8095,Hannah Walker,christina30@gmail.com,West,Monitor,8.0,193.52,2025-05-15,2024-08-17,Delivered,UPI,,
2544,David Gordon,pricekimberly@hotmail.com,South,Mouse,5.0,1178.53,2024-12-19,2025-05-31,Returned,Cash,1.0,
8336,Michael Brown,durancrystal@weiss.com,East,Smartphone,1.0,1036.36,2025-03-08,2025-04-01,Pending,Credit Card,5.0,RemoveMe
9057,Bryan Henderson,mary43@gmail.com,West,Keyboard,6.0,967.09,2024-12-12,2025-04-24,Returned,Cash,1.0,
4733,Alan Martin,mosssonya@blanchard.com,South,Keyboard,2.0,467.64,2025-01-27,2024-11-22,Cancelled,Cash,4.0,
7736,Brenda Rivera DVM,obennett@gmail.com,North,Smartphone,3.0,1254.26,2024-11-07,2024-08-23,Pending,Cash,4.0,
2585,Debra Brown,wilsonangel@hotmail.com,West,Tablet,7.0,1184.89,2025-03-24,2024-12-06,Returned,Debit Card,4.0,
6101,Brian Porter,kimberly90@hotmail.com,East,Monitor,1.0,1153.77,2025-03-12,2024-09-03,Cancelled,Net Banking,5.0,
3085,Wesley Rogers,katiethompson@arnold.com,North,Keyboard,3.0,226.49,2024-09-17,2024-08-27,Pending,Net Banking,4.0,
3633,Dana Mckay,christine66@parker.org,South,Monitor,4.0,431.71,2024-09-21,2024-10-17,Delivered,Debit Card,3.0,
8938,Brent Brown,stevenflores@mullins.com,North,Tablet,3.0,1056.34,2025-01-04,2024-11-26,Returned,Net Banking,,
8675,Mary Tate,ggarner@hotmail.com,West,Monitor,7.0,666.86,2024-07-13,2024-09-19,Pending,UPI,2.0,
5321,Nicholas Sanchez,riveraparker@gmail.com,North,Keyboard,5.0,1223.95,2024-08-27,2025-03-11,Cancelled,Net Banking,,RemoveMe
1273,Bryan Smith,amiller@yahoo.com,West,Monitor,10.0,521.22,2024-09-02,2025-04-28,Delivered,Debit Card,,
2817,Terri Lewis,johnclark@williams.com,North,Keyboard,7.0,1418.46,2024-12-26,2024-12-01,Cancelled,Cash,2.0,
5626,Janice Smith,scott99@murphy.com,North,Laptop,1.0,940.85,2025-02-27,2024-08-16,Delivered,Net Banking,1.0,
6465,Sergio Randolph,xbrown@hotmail.com,West,Smartphone,10.0,948.96,2024-11-05,2024-09-18,Returned,Credit Card,,
5462,Sean Garcia,jacquelineavila@gmail.com,South,Tablet,7.0,694.05,2025-04-15,2024-08-01,Returned,Net Banking,1.0,
5413,Sean Harris,kimberlycohen@garcia.com,East,Tablet,10.0,491.5,2025-02-15,2025-05-22,Delivered,UPI,,
4944,Mitchell Ferguson,crobinson@gmail.com,East,Smartphone,10.0,75.06,2025-04-08,2024-12-03,Returned,Cash,2.0,
9103,Lauren Horne,joseph65@vasquez-dickerson.com,North,Mouse,5.0,624.84,2025-03-17,2024-07-20,Pending,Credit Card,,
3804,Matthew Berg,jason42@ortega-parks.com,West,Monitor,2.0,746.96,2024-11-23,2025-04-04,Delivered,Debit Card,5.0,
6184,Elizabeth Taylor,michaelsantiago@hotmail.com,North,Tablet,9.0,902.93,2025-04-11,2024-10-10,Delivered,Cash,2.0,RemoveMe
5067,Kenneth Smith,james00@deleon.biz,East,Keyboard,4.0,73.82,2025-05-30,2024-07-09,Pending,Net Banking,,
6188,Mario Kemp,fyu@gmail.com,West,Monitor,2.0,1146.36,2024-09-24,2024-11-16,Delivered,Debit Card,2.0,
8409,Gary Williams,gpowell@king.biz,South,Mouse,7.0,799.87,2024-10-09,2025-02-08,Pending,Debit Card,4.0,
2666,Ryan Nelson,bettyrodriguez@walker-torres.com,South,Mouse,2.0,1121.67,2024-07-26,2024-07-31,Pending,Cash,1.0,
1695,James Montoya,millermatthew@yahoo.com,North,Tablet,10.0,883.35,2025-03-14,2025-01-12,Delivered,Cash,1.0,
1553,Cameron Torres,barnesjonathan@randall.com,West,Tablet,3.0,522.01,2025-01-06,2025-04-25,Delivered,Credit Card,4.0,
5487,Roberta Mcdowell,jenniferparker@miranda.com,North,Keyboard,4.0,76.32,2024-09-25,2024-07-03,Delivered,UPI,3.0,
1439,Carolyn Vazquez,fwilliams@cain.com,South,Keyboard,9.0,706.26,2024-11-20,2025-04-12,Cancelled,Debit Card,5.0,
6933,Darin Jones,vschmidt@duran-stevens.com,West,Smartphone,7.0,1048.42,2025-02-19,2024-09-23,Pending,Credit Card,2.0,
1082,Kathleen Mcdonald,greenmitchell@hotmail.com,South,Laptop,6.0,1100.95,2024-12-12,2024-09-29,Delivered,Credit Card,,RemoveMe
9804,Anthony Ellis,pattonbenjamin@yahoo.com,North,Keyboard,6.0,1497.46,2025-06-17,2024-11-01,Delivered,Debit Card,1.0,
2658,Daryl Stein,hendersonelizabeth@gmail.com,South,Mouse,3.0,1023.66,2024-09-16,2024-11-11,Cancelled,Cash,5.0,
2899,Kimberly Evans,lopezjames@hernandez.com,East,Mouse,7.0,555.23,2024-11-15,2024-11-21,Pending,Cash,2.0,
6586,Paul Ford PhD,kmarshall@hotmail.com,West,Laptop,4.0,479.32,2024-07-17,2025-06-03,Pending,Net Banking,1.0,
9539,Krystal Mendoza,ymitchell@gmail.com,West,Smartphone,5.0,921.74,2024-08-14,2024-10-06,Pending,Debit Card,,
7320,Paul Craig,ccross@goodman-roy.net,South,Keyboard,4.0,1351.62,2025-03-23,2024-11-12,Pending,Cash,5.0,
8162,Mr. Mark Sawyer,jthompson@gmail.com,West,Monitor,3.0,451.53,2025-05-03,2024-09-27,Pending,Debit Card,,
3668,Kristen Jackson,dannyramirez@johnson.com,North,Monitor,1.0,150.52,2024-08-25,2025-06-28,Returned,Cash,5.0,
7732,Mark Smith,matthewrussell@gmail.com,South,Smartphone,6.0,211.2,2025-05-31,2025-05-01,Pending,Net Banking,1.0,
